id_account_number,start_date,end_date,request_type,asset_class_name,snapshot,ACCESS,HIST,T2,total
30395902,2022-09-01,2022-09-30,MONTHLY,Emerging Market Debt - Investment Grade,NY4PM,,,82.67,82.67
30395902,2022-09-01,2022-09-30,MONTHLY,Government Agency Bonds,LO4:15pm,,,2.48,2.48
30395902,2022-09-01,2022-09-30,MONTHLY,Government Agency Bonds,NY4PM,,,51.15,51.15
30395902,2022-09-01,2022-09-30,MONTHLY,Municipal Investment Grade,NY4PM,,,1.24,1.24
30395902,2022-09-01,2022-09-30,MONTHLY,Sovereign - Developed,LO4:15pm,,,0.34,0.34
30395902,2022-09-01,2022-09-30,MONTHLY,Sovereign - Developed,NY4PM,,,1.53,1.53
30395902,2022-09-01,2022-09-30,MONTHLY,Sovereign - Developed,TO3PM,,,0.17,0.17
30395902,2022-09-01,2022-09-30,MONTHLY,Sovereign - Emerging,LO4:15pm,,,2.05,2.05
30395902,2022-09-01,2022-09-30,MONTHLY,Sovereign - Emerging,NY4PM,,,127.51,127.51
30395902,2022-09-01,2022-09-30,MONTHLY,Sovereign - Emerging,TO5PM,,,2.05,2.05
30395902,2022-09-01,2022-09-30,MONTHLY,Syndicated Loans,LO4:15pm,,,2.94,2.94
30395902,2022-09-01,2022-09-30,MONTHLY,US Government,LO12PM,,,0.17,0.17
30395902,2022-09-01,2022-09-30,MONTHLY,US Government,NY4PM,,,1.19,1.19
30395902,2022-09-01,2022-09-30,MONTHLY,US Government,TO4PM,,,0.17,0.17
30395902,2022-09-01,2022-09-30,MONTHLY,US Government,TO5PM,,,0.85,0.85
30395902,2022-09-01,2022-09-30,WEEKLY,Corporate High Yield,NY3PM,,,1.33,1.33
30395902,2022-09-01,2022-09-30,WEEKLY,Emerging Market Debt - High Yield,LO12PM,,,2.11,2.11
30395902,2022-09-01,2022-09-30,WEEKLY,Emerging Market Debt - High Yield,SH5PM,,,2.11,2.11
30395902,2022-09-01,2022-09-30,WEEKLY,Emerging Market Debt - Investment Grade,LO12PM,,,1.33,1.33
